Average size,Src Port,Dst Port,Protocol,Time,Category
64,65506,5355,0,0.0,Network
64,51648,5355,0,210.5,Network
64,60929,5355,0,0.0,Network
64,57645,5355,0,205.5,Network
64,53101,5355,0,0.0,Network
64,54075,5355,0,212.0,Network
64,62606,5355,0,0.5,Network
64,56900,5355,0,206.5,Network
64,51784,5355,0,211.0,Network
64,62370,5355,0,0.5,Network
64,51780,5355,0,0.0,Network
64,54351,5355,0,206.0,Network
64,56851,5355,0,0.5,Network
64,53426,5355,0,210.5,Network
64,59629,5355,0,8.5,Network
64,56642,5355,0,0.0,Network
64,53996,5355,0,69.5,Network
64,55579,5355,0,0.0,Network
64,51561,5355,0,178.5,Network
64,63011,5355,0,0.5,Network
64,50639,5355,0,0.5,Network
64,58538,5355,0,31.0,Network
64,54633,5355,0,0.0,Network
64,64733,5355,0,210.5,Network
64,49321,5355,0,210.5,Network
64,65518,5355,0,0.5,Network
64,57302,5355,0,0.0,Network
64,60960,5355,0,86.5,Network
64,62382,5355,0,0.0,Network
64,65514,5355,0,210.5,Network
64,55484,5355,0,0.0,Network
64,53775,5355,0,210.5,Network
64,54419,5355,0,0.0,Network
64,62619,5355,0,210.5,Network
64,56111,5355,0,0.5,Network
64,57324,5355,0,212.0,Network
64,56671,5355,0,63.0,Network
64,60209,5355,0,0.0,Network
64,49362,5355,0,0.0,Network
64,53669,5355,0,210.5,Network
64,56911,5355,0,0.0,Network
64,61854,5355,0,94.0,Network
64,63683,5355,0,0.0,Network
64,51687,5355,0,70.0,Network
64,52930,5355,0,210.5,Network
64,63135,5355,0,117.0,Network
64,49303,5355,0,0.5,Network
64,63420,5355,0,210.5,Network
64,61927,5355,0,0.5,Network
64,51461,5355,0,0.0,Network
64,60377,5355,0,210.5,Network
64,64657,5355,0,206.0,Network
64,56200,5355,0,0.0,Network
64,54662,5355,0,0.0,Network
64,60419,5355,0,47.0,Network
64,56444,5355,0,0.5,Network
64,54747,5355,0,210.5,Network
64,54424,5355,0,0.5,Network
64,56095,5355,0,210.0,Network
64,53423,5355,0,0.5,Network
64,65451,5355,0,210.5,Network
64,58560,5355,0,0.0,Network
64,63081,5355,0,210.5,Network
64,57905,5355,0,0.5,Network
64,51351,5355,0,208.5,Network
64,59974,5355,0,0.0,Network
64,54267,5355,0,0.0,Network
64,64631,5355,0,0.0,Network
64,52125,5355,0,62.5,Network
64,50392,5355,0,0.0,Network
64,58923,5355,0,0.0,Network
64,63170,5355,0,70.5,Network
64,53360,5355,0,0.5,Network
64,57557,5355,0,210.5,Network
64,57070,5355,0,0.0,Network
64,55849,5355,0,211.5,Network
64,64123,5355,0,1.0,Network
64,61694,5355,0,209.5,Network
64,63207,5355,0,0.0,Network
64,60340,5355,0,210.5,Network
64,53177,5355,0,211.5,Network
64,58164,5355,0,0.0,Network
64,54617,5355,0,210.0,Network
64,49403,5355,0,0.5,Network
64,52597,5355,0,0.5,Network
64,58263,5355,0,210.5,Network
128,51434,161,0,1970.5,Network
64,63260,5355,0,0.5,Network
64,64343,5355,0,211.0,Network
64,63220,5355,0,0.0,Network
64,51720,5355,0,212.0,Network
64,49399,5355,0,0.5,Network
64,65039,5355,0,210.5,Network
64,63109,5355,0,211.5,Network
64,64485,5355,0,0.5,Network
64,64701,5355,0,110.0,Network
64,58281,5355,0,0.5,Network
64,60059,5355,0,0.5,Network
64,59486,5355,0,20.0,Network
64,54541,5355,0,0.5,Network
64,58167,5355,0,210.5,Network
64,57729,5355,0,0.5,Network
64,65020,5355,0,187.5,Network
64,64131,5355,0,0.0,Network
64,54680,5355,0,149.0,Network
64,55120,5355,0,0.5,Network
64,63829,5355,0,210.0,Network
64,62943,5355,0,0.5,Network
64,54925,5355,0,205.5,Network
64,65191,5355,0,63.0,Network
64,64486,5355,0,0.5,Network
64,55236,5355,0,0.5,Network
64,60303,5355,0,0.5,Network
64,55748,5355,0,31.0,Network
64,62462,5355,0,0.5,Network
64,54762,5355,0,210.5,Network
64,61562,5355,0,0.5,Network
276,54743,53,0,7810.5,Network
155,57438,53,0,30.5,Network
276,54743,53,0,11.0,Network
155,57438,53,0,10.5,Network
276,54743,53,0,9.5,Network
213,32454,80,1,38.4,Web
64,58953,5355,0,0.5,Network
64,57895,5355,0,208.5,Network
64,62099,5355,0,0.5,Network
64,49823,5355,0,204.5,Network
64,51326,5355,0,0.0,Network
64,59799,5355,0,210.5,Network
64,55657,5355,0,0.0,Network
64,59850,5355,0,78.5,Network
64,62897,5355,0,0.0,Network
64,63101,5355,0,210.5,Network
64,56346,5355,0,0.0,Network
64,65408,5355,0,210.5,Network
64,54672,5355,0,0.5,Network
64,56025,5355,0,210.5,Network
64,62142,5355,0,0.5,Network
64,53138,5355,0,32.0,Network
64,55539,5355,0,0.5,Network
64,64157,5355,0,210.0,Network
64,54597,5355,0,0.0,Network
64,52404,5355,0,210.0,Network
64,63346,5355,0,0.0,Network
64,51244,5355,0,8.0,Network
64,49671,5355,0,0.5,Network
64,49913,5355,0,205.5,Network
64,63433,5355,0,210.5,Network
64,59401,5355,0,0.5,Network
64,54899,5355,0,0.5,Network
64,59555,5355,0,210.5,Network
64,56107,5355,0,0.0,Network
64,49806,5355,0,210.5,Network
64,54371,5355,0,10.5,Network
64,61040,5355,0,0.0,Network
276,57304,53,0,21.0,Network
276,57304,53,0,8.5,Network
276,57304,53,0,1.5,Network
266,32457,80,1,22.0,Web
282,32458,80,1,28.86,Web
64,49719,5355,0,0.0,Network
64,63389,5355,0,210.0,Network
64,56243,5355,0,0.5,Network
64,50087,5355,0,206.0,Network
64,52875,5355,0,0.5,Network
64,61137,5355,0,210.5,Network
64,58353,5355,0,74.0,Network
64,56804,5355,0,0.0,Network
64,49693,5355,0,0.5,Network
64,52561,5355,0,134.5,Network
94,1258,443,1,4800.57,Web
